campaign_id,merchant_id,occasion,start_date,end_date,duration_days,discount_pct,city,source_label
syn_camel_step_founding_day_2022,camel_step,founding_day,2022-02-17,2022-02-21,4,22,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_extra_founding_day_2022,extra,founding_day,2022-02-18,2022-02-21,3,21,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_saudia_founding_day_2022,saudia,founding_day,2022-02-18,2022-02-21,3,14,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_al_dawaa_founding_day_2022,al_dawaa,founding_day,2022-02-21,2022-02-27,6,12,Dammam,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_albaik_founding_day_2022,albaik,founding_day,2022-02-21,2022-02-27,6,17,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_jarir_ramadan_2022,jarir,ramadan,2022-03-28,2022-04-02,5,13,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_panda_ramadan_2022,panda,ramadan,2022-03-29,2022-03-31,2,16,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_al_dawaa_ramadan_2022,al_dawaa,ramadan,2022-03-31,2022-04-07,7,13,Dammam,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_albaik_ramadan_2022,albaik,ramadan,2022-03-31,2022-04-07,7,19,Jeddah,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_noon_saudi_ramadan_2022,noon_saudi,ramadan,2022-03-31,2022-04-02,2,18,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_camel_step_ramadan_2022,camel_step,ramadan,2022-04-01,2022-04-06,5,19,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_dose_ramadan_2022,dose,ramadan,2022-04-03,2022-04-07,4,17,Khobar,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
syn_half_million_ramadan_2022,half_million,ramadan,2022-04-04,2022-04-11,7,25,Riyadh,MOCK / SYNTHETIC DEMO DATA — SAUDI MARKET
